"","binomial","elevationMin","elevation1Q","elevationMed","elevationMea","elevation3Q","elevationMax","WC1Min","WC11Q","WC1Med","WC1Mea","WC13Q","WC1Max","WC2Min","WC21Q","WC2Med","WC2Mea","WC23Q","WC2Max","WC3Min","WC31Q","WC3Med","WC3Mea","WC33Q","WC3Max","WC4Min","WC41Q","WC4Med","WC4Mea","WC43Q","WC4Max","WC5Min","WC51Q","WC5Med","WC5Mea","WC53Q","WC5Max","WC6Min","WC61Q","WC6Med","WC6Mea","WC63Q","WC6Max","WC7Min","WC71Q","WC7Med","WC7Mea","WC73Q","WC7Max","WC8Min","WC81Q","WC8Med","WC8Mea","WC83Q","WC8Max","WC9Min","WC91Q","WC9Med","WC9Mea","WC93Q","WC9Max","WC10Min","WC101Q","WC10Med","WC10Mea","WC103Q","WC10Max","WC11Min","WC111Q","WC11Med","WC11Mea","WC113Q","WC11Max","WC12Min","WC121Q","WC12Med","WC12Mea","WC123Q","WC12Max","WC13Min","WC131Q","WC13Med","WC13Mea","WC133Q","WC13Max","WC14Min","WC141Q","WC14Med","WC14Mea","WC143Q","WC14Max","WC15Min","WC151Q","WC15Med","WC15Mea","WC153Q","WC15Max","WC16Min","WC161Q","WC16Med","WC16Mea","WC163Q","WC16Max","WC17Min","WC171Q","WC17Med","WC17Mea","WC173Q","WC17Max","WC18Min","WC181Q","WC18Med","WC18Mea","WC183Q","WC18Max","WC19Min","WC191Q","WC19Med","WC19Mea","WC193Q","WC19Max"
"201","Nototriton abscondens","1029","1396","1609","1688","1907","2650","12","16","18","17.46","19","22","9","9","10","9.512","10","10","81","82","83","83.07","84","85","58","62","66","65.78","69","76","17","22","24","23.22","25","28","6","10","12","11.78","14","16","11","11","12","11.51","12","12","12","16","18","17.49","19","21","11","16","18","17.51","19","22","13","17","19","18.32","20","22","11","15","17","16.68","18","21","2298","2570","3002","3033","3443","4172","374","388","407","419","432","574","18","32","56","73.51","113","160","30","37","57","52.37","67","74","1013","1096","1142","1164","1212","1441","85","117","223","264.5","416","559","409","452","642","642.7","815","1044","285","349","681","615.3","869","981"
"202","Nototriton barbouri","200","642.2","849.5","874.3","1124","1681","18","21","22","22.23","23","26","8","9","10","9.846","10","11","65","67","68","68.23","69.75","73","131","143.2","145","145.9","147.8","157","24","28","30","29.35","31","33","11","14","15","14.92","16","18","13","14","15","14.46","15","16","19","21","23","22.81","24","27","18","21","22","22.15","23.75","26","20","23","24","23.85","25","27","16","19","20.5","20.27","21","24","1101","1259","1324","1416","1354","2139","165","181","192.5","212","218","333","22","23","27","29.38","32.75","44","42","49.25","58.5","54.81","60","62","442","486.8","509","572.9","554.8","948","89","101.2","111","117.4","130","159","247","310.2","328","349.3","363.2","501","112","157.2","190.5","199.3","237.2","338"
"203","Nototriton brodiei","618","800.5","983","1051","1268","1552","19","20","21","21","22","23","9","9","9","9","9","9","64","64.5","65","65","65.5","66","141","144","147","145.3","147.5","148","26","27","28","28","29","30","12","13.5","15","14.33","15.5","16","13","13.5","14","13.67","14","14","20","21.5","23","22.33","23.5","24","19","20","21","21","22","23","21","22","23","23","24","25","17","18.5","20","19.33","20.5","21","1727","1809","1891","1853","1916","1940","256","280.5","305","290.3","307.5","310","38","39","40","40.33","41.5","43","53","56","59","57","59","59","662","733.5","805","761.3","811","817","138","141","144","143","145.5","147","450","464","478","475.7","488.5","499","253","254","255","256","257.5","260"
"204","Nototriton limnospectator","1299","1462","1864","1716","1932","1984","16","16.25","17","17.67","19.25","20","8","9","9","9.167","9.75","10","67","67.25","68","67.83","68","69","135","136","136.5","136.5","137","138","23","23","23.5","24.5","26.25","27","10","10","10.5","11.17","12.5","13","13","13","13","13.33","13.75","14","17","17.25","18","18.33","19.5","20","15","15.25","16","17","19","20","18","18","18.5","19.33","20.5","22","15","15","15","16","17.25","18","1560","1565","1585","1596","1604","1676","268","269.8","273.5","275.8","282.5","286","22","22.25","23.5","23.33","24","25","65","69","69","68.5","69","70","650","653","662","665.8","679.2","686","92","95.5","97","98","97.75","109","488","489.5","491.5","491.8","492.8","498","127","134","137","142.8","139.2","183"
"205","Nototriton picadoi","1582","1718","1926","1958","2170","2575","12","14.5","16","15.82","17.5","18","9","10","10","9.818","10","10","84","84","84","84.18","84","85","60","61.5","62","62.18","63","64","17","20","21","21.45","23.5","24","6","8.5","10","9.818","11.5","12","11","11","12","11.64","12","12","12","15","15","15.82","17.5","18","12","14","16","15.73","17.5","18","13","15","16","16.55","18.5","19","11","14","15","14.91","16.5","17","2089","2252","2571","2677","2988","3637","344","371.5","406","404","431.5","461","22","35.5","40","52.73","64","132","36","55","61","58.73","66","68","901","977","1136","1094","1186","1278","96","135","152","199.1","231","464","385","422.5","691","646.2","811","930","299","350.5","383","469.1","529.5","882"
"206","Nototriton richardi","1029","1350","1429","1467","1571","1906","16","18","19","18.45","19","21","9","9","9","9","9","9","82","82","82","82.45","83","83","62","63.5","65","65","66","68","21","23.5","24","24","25","26","10","12","13","12.82","13.5","15","11","11","11","11","11","11","16","18","19","18.45","19","21","16","18","19","18.82","19.5","21","17","19","19","19.27","20","21","15","17","18","17.64","18","20","3067","3401","3569","3558","3692","4172","374","384","418","417.5","432.5","544","40","100.5","118","115.3","143","156","29","30.5","35","34.64","38","44","1090","1102","1192","1184","1206","1441","267","375","474","443.7","505","559","446","553.5","609","667.2","766","1044","813","872","898","902.2","940.5","981"
"207","Nototriton saslaya","461","718","820","812.6","929","1251","20","21","22","22.11","23","24","7","8","8","8","8","9","72","74","74","73.89","74","75","94","95","96","96.67","99","100","25","27","27","27.44","28","30","15","16","16","16.56","17","18","10","11","11","11","11","12","20","22","23","22.56","23","24","20","21","22","22.11","23","24","21","22","23","23.11","24","25","18","20","21","20.67","21","23","2122","2211","2227","2220","2252","2272","326","340","346","344.9","350","355","42","45","45","45.33","47","47","52","54","57","56.78","59","63","915","949","951","954.9","964","987","156","171","174","175.4","186","191","564","569","572","572.7","574","588","225","293","312","313.6","345","369"
"208","Nyctanolis pernix","1037","1262","1380","1475","1732","1920","17","18","20","19.71","21","23","9","9.5","10","10","10.5","11","69","72","74","73","74.5","75","109","121.5","133","131.9","142","154","23","25","27","26.14","27.5","28","10","11.5","12","12.57","13.5","16","12","12.5","13","13.71","15","16","18","19","21","20.43","21.5","23","17","18","20","19.29","20","22","19","20","22","21.29","22","24","15","16","18","17.57","18.5","21","2110","2244","2379","2466","2648","2991","327","342.5","392","387.7","418","474","49","56","61","63.43","70.5","81","52","54","66","61.43","68","68","894","924.5","1045","1063","1146","1363","161","190","215","211.3","231","261","556","563","625","617","645.5","721","257","302","317","310.9","329","340"
"209","Oedipina carablanca","39","165","330","321.7","432","896","22","24","25","24.7","26","26","8","8","8","8.03","8","9","76","77","77","77.27","78","81","65","75","78","77.12","80","82","27","30","30","30.3","31","32","17","19","20","19.64","20","21","10","10","11","10.73","11","11","21","24","25","24.55","26","26","22","25","25","25.39","26","27","23","25","26","25.85","27","27","21","23","24","23.85","25","25","3338","3591","3672","3656","3718","3842","380","407","425","423.6","445","458","117","140","143","144.1","152","162","27","29","31","30.82","32","34","1033","1119","1153","1150","1188","1211","454","497","506","508.7","524","546","573","627","640","634.9","650","660","955","1020","1068","1073","1120","1202"
"210","Oedipina complex","1","37","78","146.6","183.2","1569","19","26","26","25.82","26","28","6","7","8","7.778","8","10","71","88","90","88.13","91","93","22","25","28","33.43","34","80","24","30","30","30.38","31","33","14","21","22","21.56","22","23","7","8","9","8.81","9","11","19","25","26","25.62","26","28","19","26","26","25.96","26","28","19","26","26","26.24","27","28","19","25","26","25.5","26","28","1848","3001","4551","4506","5902","7312","241","414","545","538.7","655.2","831","7","76","229","209.2","322","502","9","20","27","33.14","44","77","643","1128","1464","1482","1814","2327","37","322.5","828.5","737.5","1089","1552","70","518","1128","1001","1356","1752","290","867","1266","1265","1697","2327"
"211","Oedipina cyclocauda","0","38","118","258.8","359","2090","15","25","25","24.93","26","27","5","7","8","7.883","9","11","60","69","72","71.33","73","83","47","86","98","105.6","126","171","21","30","30","30.35","31","34","9","18","20","19.24","21","22","8","10","11","11.08","12","16","16","25","26","25.24","26","28","14","25","25","25.01","26","29","17","26","26","26.06","27","29","14","23","24","23.46","24","26","1027","2068","2547","2455","2870","4350","141","318","400","373.2","442","708","5","40","52","56.38","63","186","20","46","53","52.3","60","73","400","876","1053","983.6","1145","1646","41","150","192","211.3","242","606","230","471","568","542.5","628","1077","61","292","403","460.7","573","1505"
"212","Oedipina elongata","11","156","403","469.8","683","1808","18","23","24","23.98","25","27","8","9","9","9.228","10","12","58","63","65","64.84","67","71","131","151","166","165.9","179","205","24","30","31","30.86","32","35","11","16","17","16.46","18","19","12","14","14","14.39","15","17","19","24","25","25.08","26","28","16","23","24","23.57","25","27","19","25","26","25.68","27","28","15","21","22","21.74","23","25","1704","2134","2309","2470","2763","3918","227","315","367","402.6","464","687","39","53","60","64.43","74","123","43","52","55","57.39","64","72","614","851","954","1058","1226","1736","125","186","207","217.2","243","376","376","503","619","695.8","786","1426","145","347","374","366.5","400","556"
"213","Oedipina gephyra","837","1247","1418","1296","1466","1512","19","19","19.5","20.25","20.75","23","8","8.75","9","9","9.25","10","65","65.75","66","66.5","66.75","69","142","142.8","143","143.5","143.8","146","25","25.75","26","26.5","26.75","29","12","12.75","13","13.25","13.5","15","13","13","13.5","13.5","14","14","19","19.75","20","20.25","20.5","22","19","19","19.5","20","20.5","22","21","21","21","21.75","21.75","24","17","17","17.5","18.25","18.75","21","1278","1308","1332","1334","1358","1396","166","183.2","191","185.8","193.5","195","25","26.5","27.5","29.25","30.25","37","42","48","51","49.25","52.25","53","478","495.2","504","503.5","512.2","528","104","107","109.5","113.8","116.2","132","286","340","359","342.2","361.2","365","171","177.8","191.5","198.5","212.2","240"
"214","Oedipina gracilis","4","45","136","280","430","1508","18","24","26","24.8","26","27","7","8","8","8.107","8","10","75","77","78","78.85","81","84","47","63","70","68.4","76","82","24","29","31","30.11","31","32","13","19","21","19.85","21","22","9","10","10","10.27","11","12","18","24","25","24.71","26","27","19","24","26","25.3","27","27","19","25","26","25.67","27","28","18","23","25","23.95","25","26","2373","3023","3261","3293","3590","3904","294","345","382","391","445","536","20","118","135","131.2","149","186","20","27","31","30.84","34","69","829","950","1035","1051","1154","1408","100","437","485","473.2","523","606","333","589","621","623.1","645","924","375","783","910","896.5","1068","1226"
"215","Oedipina grandis","1720","1947","2096","2142","2257","2743","11","13.25","14.5","14.29","15.75","17","8","9","9","8.929","9","10","83","84","84","84.21","85","85","52","54","55","55.86","57","60","15","18.25","20","19.64","21","23","6","8.25","9","9","10","11","10","10","11","10.57","11","11","11","13.25","14.5","14.21","15","17","10","13.25","14","13.86","15","17","11","14.25","15","14.79","16","18","10","13","14","13.57","14.75","16","2586","2616","2826","2921","3080","3602","414","476.2","487.5","491.6","519.2","569","14","27","39.5","56.86","58.75","142","37","57.75","67","61.07","70.75","72","1053","1143","1186","1197","1245","1363","68","96.25","132.5","192.2","200.5","461","470","741.5","808","783.2","889.5","1017","139","183.8","284.5","336.1","500","626"
"216","Oedipina maritima","14","14","14","14","14","14","26","26","26","26","26","26","7","7","7","7","7","7","82","82","82","82","82","82","48","48","48","48","48","48","30","30","30","30","30","30","22","22","22","22","22","22","8","8","8","8","8","8","27","27","27","27","27","27","26","26","26","26","26","26","27","27","27","27","27","27","26","26","26","26","26","26","2801","2801","2801","2801","2801","2801","356","356","356","356","356","356","63","63","63","63","63","63","39","39","39","39","39","39","908","908","908","908","908","908","335","335","335","335","335","335","509","509","509","509","509","509","663","663","663","663","663","663"
"217","Oedipina parvipes","2","35","132","242.7","347","1971","17","25","26","26.08","27","28","6","8","8","8.29","9","10","71","86","89","86.6","90","92","25","32","34","40.73","42","80","22","30","31","31","32","33","13","21","22","21.5","23","23","8","9","9","9.532","10","11","17","25","26","25.84","27","28","17","26","27","26.33","27","28","18","26","27","26.63","28","29","17","25","26","25.64","27","28","1960","2800","3159","3521","4032","6531","278","374","419","436.7","480","726","7","29","74","100.8","131","412","9","30","43","42.22","56","77","749","1016","1140","1190","1341","1853","42","140","288","406.3","569","1393","155","428","594","651.5","809","1533","385","860","1036","1068","1265","1810"
"218","Oedipina poelzi","593","1242","1535","1612","2111","2511","13","15","18","17.67","20","24","9","9","9","9.095","9","10","81","82","82","82.33","83","85","62","64","68","67.95","71","76","18","21","24","23.38","25","30","7","9","12","12.1","14","18","11","11","11","11.1","11","12","13","15","18","17.71","19","23","13","15","18","17.9","20","24","14","16","19","18.52","20","25","12","14","17","16.81","19","23","2116","2589","3216","3144","3569","4172","339","374","384","400.8","428","544","18","40","103","88.81","127","161","26","31","41","43.9","57","73","943","1022","1078","1120","1211","1441","72","178","395","343.8","474","559","415","573","678","703.6","839","1044","285","474","817","698.3","861","964"
"219","Oedipina pseudouniformis","144","666.2","861","1003","1078","2728","11","21","22","21.1","23","25","8","9","9","8.88","9","10","73","79","80","80.16","82","84","61","66","68","70.52","70","103","17","26","27.5","26.74","28","31","6","15","16","15.62","17.75","20","10","11","11","11.08","11","12","12","20.25","22","20.96","23","26","11","21","22","21.48","23","26","12","21.25","23","21.94","24","26","10","20","21","20.2","22","24","1445","2594","3082","2854","3212","3873","248","347.2","370.5","369.1","391.2","448","13","26.25","81.5","78.2","116.5","168","26","32","40.5","47.16","64","75","635","990.2","1028","1034","1138","1263","58","124.2","343.5","288.2","422.8","566","315","351.2","541","513.9","585.2","995","96","434.8","766","655.7","847.2","1058"
